source,type,text,image_url,is_promo,is_promotional
ajio,h1,Access Denied,,False,0
amazon,div,"Shortcuts menuSkip toMain contentKeyboard shortcutsSearchalt+/Cartshift+alt+CHomeshift+alt+HOrdersshift+alt+OOpen/close shortcuts menushift+alt+ZTo move between items, use your keyboard's up or down arrows..usDeliver toIndiaInternational Shopping Transition AlertWe're showing you items that ship toIndia. To see items that ship to a different country, change your delivery address.DismissChange AddressDealsSelect the department you want to search inDealsAll DepartmentsArts & CraftsAutomotiveBabyBeauty & Personal CareBooksBoys' FashionComputersDealsDigital MusicElectronicsGirls' FashionHealth & HouseholdHome & KitchenIndustrial & ScientificKindle StoreLuggageMen's FashionMovies & TVMusic, CDs & VinylPet SuppliesPrime VideoSoftwareSports & OutdoorsTools & Home ImprovementToys & GamesVideo GamesWomen's FashionSearch AmazonENHello, sign inAccount & ListsReturns& Orders0CartAllToday's DealsRegistryPrime VideoGift CardsCustomer ServiceSellDisability Customer SupportToday's DealsCouponsRenewed DealsOutletAmazon ResaleGrocery DealsSign inNew customer?Start here.Your ListsCreate a ListFind a List or RegistryYour AccountAccountOrdersRecommendationsBrowsing HistoryWatchlistVideo Purchases & RentalsKindle UnlimitedContent & DevicesSubscribe & Save ItemsMemberships & SubscriptionsMusic LibrarySign inNew customer?Start here.Save on big purchasesSee morePrevious Page38% offLimited time deal$499.99$49999List:$799.99$799.99Philips 3200 Series Fully Automatic Espresso Machine, LatteGo Milk Frother, 5 Coffee Varieties, Intuitive Touch Display, 100% Ceramic Grinder, AquaClean Filter, My Coffee Choice, Black (EP3241/54)20% offLimited time deal$239.94$23994Typical:$299.94$299.94Braun Series 9 Pro 9419s Electric Shaver for Men, Wet & Dry Shave, Shaving Kit with 4+1 Head with ProLift Trimmer13% offLimited time deal$329.95$32995List:$379.95$379.95Vitamix E310 Explorian Blender, Professional-Grade, 48 oz. Container, Slate16% offLimited time deal$209.99$20999List:$249.99$249.99Ninja Air Fryer, 10QT DoubleStack XL 2-Basket, Compact Design, Cooks 5lb Whole Chicken, Feeds Up to 8 People, 6-in-1 Air Fryer, Roast, Bake & More, Easy to Clean, Dishwasher Safe Parts, Grey, SL40114% offLimited time deal$274.99$27499Typical:$319.00$319.00AMD Ryzen 9 5950X 16-core, 32-thread unlocked desktop processor42% offLimited time deal$349.99$34999Typical:$599.99$599.99Ninja Cookware, Ninja NeverStick Professional, 16-Piece Pots and Pans Set, Non Stick Frying Pans, Kitchen Essentials, Stock Pot, Sauce Pan, Glass Lids, Saute Pan, All Stovetops, Black, C3990034% offLimited time deal$249.99$24999List:$379.99$379.99Ninja Prestige Smart XL with Pro Cook System 10-in-1 Air Fry Digital Countertop Convection Toaster Oven with Air Fry, Air Roast, Broil & Bake, Pro Cook Thermometer, 1800 Watts, Stainless Steel, DT55116% offLimited time deal$269.96$26996List:$319.99$319.99Waykar 120 Pints Energy Star Home Dehumidifier for Spaces up to 6,000 Sq. Ft at Home, in Basements and Large Rooms with Drain Hose, Handle, Auto Defrost and Self-Drying.32% offLimited time deal$329.99$32999List:$484.99$484.99Coleman 4/6/8/10 Person Skydome Dark Room Tent with Rainfly, 5 Minute Setup, Blocks 90% of Sunlight, 20% More Headroom Than Traditional Tents31% offLimited time deal$345.00$34500List:$499.00$499.00Philips 1200 Series Fully Automatic Espresso Machine, Classic Milk Frother, 2 Coffee Varieties, Intuitive Touch Display, 100% Ceramic Grinder, AquaClean Filter, Aroma Seal, Black (EP1220/04)34% offLimited time deal$219.37$21937List:$329.95$329.95Gotham Steel Hammered 20 Pc Ceramic Cookware Set Nonstick, True Ceramic Pots and Pans Set Non Stick with Deep Square Pan Set & Bakeware Set, Non Toxic PFOA PFOS Free, Oven & Dishwasher SafeNext PageCan't-miss offersPrevious pageFitness deals under $25Fitness deals under $25Over 50% off electronicsOver 50% off electronicsSave on fashion dealsSave on fashion dealsBeauty under $25Beauty under $25Deals just for youDeals just for youLightning deals over 50% offLightning deals over 50% offSave on outletSave on outlet25% off or more on home25% off or more on homeNext pageToday's Dealsundefined.TrendingLightning dealsCustomers' Most-LovedSummer FavoritesOutletBeautyFashionHomeToys & GamesElectronicsDevicesKitchenEveryday EssentialsAmazon BrandsComputers & AccessoriesPet SuppliesFurnitureTVs & AccessoriesHome DIY & AppliancesSports & OutdoorsGroceryHealth & HouseholdCell Phones & AccessoriesSmall BusinessVideo GamesLawn & GardenAutomotiveCamera & PhotoBooksJewelryBabyOffice SuppliesMusical InstrumentsCouponsDiscounts gridFiltered byTrendingTrendingClear FiltersDepartmentAllAmazon Devices & AccessoriesAppliancesArts, Crafts & SewingAudible Books & OriginalsSee more filter optionsSee moreBrandsSharkDURACELLGarminBissellSee more filter optionsSee moreCustomer ReviewsAll& upPrice$0 – $3,200Discount0% – 100%Prime ProgramsPrime ExclusivePrime Early Access18% offLimited time dealDuracell Coppertop AA Batteries with Power Boost Ingredients, 28 Count (Pack of 1) Long-lasting Alkaline Double AA Battery in Re-closable Pack for Quick Access and Organized StorageDuracell Coppertop AA Batteries with Power Boos…12% offLimited time dealBIC Xtra Smooth Mechanical Pencil, 0.7 mm Medium Point, Refillable and Retractable, 40-Count PackBIC Xtra Smooth Mechanical Pencil, 0.7 mm Medium P…88% claimed20% offLimited time dealEnergizer Alkaline Power AA Batteries (20 Pack), Double A Long-Lasting Alkaline BatteriesEnergizer Alkaline Power AA Batteries (20 Pack), Doubl…41% offLimited time dealShark Upright Vacuum, Navigator Lift-Away Deluxe with Large Dust Cup Capacity, HEPA Filter, Swivel Steering, Upholstery Tool & Crevice Tool, Blue, NV360Shark Upright Vacuum, Navigator Lift-Away Delux…+2 colors/patternsJavascript RequiredWe're sorry, but this widget requires JavaScript. Please enable JavaScript to interact with it!Your recently viewed items and featured recommendations›View or edit your browsing historyAfter viewing product detail pages, look here to find an easy way to navigate back to pages you are interested in.Your recently viewed items and featured recommendations›View or edit your browsing historyAfter viewing product detail pages, look here to find an easy way to navigate back to pages you are interested in.Back to topGet to Know UsCareersBlogAbout AmazonInvestor RelationsAmazon DevicesAmazon ScienceMake Money with UsSell products on AmazonSell on Amazon BusinessSell apps on AmazonBecome an AffiliateAdvertise Your ProductsSelf-Publish with UsHost an Amazon Hub›See More Make Money with UsAmazon Payment ProductsAmazon Business CardShop with PointsReload Your BalanceAmazon Currency ConverterLet Us Help YouAmazon and COVID-19Your AccountYour OrdersShipping Rates & PoliciesReturns & ReplacementsManage Your Content and DevicesHelpEnglish$USD - U.S. DollarUnited StatesAmazon MusicStream millionsof songsAmazon AdsReach customerswherever theyspend their time6pmScore dealson fashion brandsAbeBooksBooks, art& collectiblesACXAudiobook PublishingMade EasySell on AmazonStart a Selling AccountVeeqoShipping SoftwareInventory ManagementAmazon BusinessEverything ForYour BusinessAmazonGlobalShip OrdersInternationallyAmazon Web ServicesScalable CloudComputing ServicesAudibleListen to Books & OriginalAudio PerformancesBox Office MojoFind MovieBox Office DataGoodreadsBook reviews& recommendationsIMDbMovies, TV& CelebritiesIMDbProGet Info EntertainmentProfessionals NeedKindle Direct PublishingIndie Digital & Print PublishingMade EasyPrime Video DirectVideo DistributionMade EasyShopbopDesignerFashion BrandsWoot!Deals andShenanigansZapposShoes &ClothingRingSmart HomeSecurity Systemseero WiFiStream 4K Videoin Every RoomBlinkSmart Securityfor Every HomeNeighbors AppReal-Time Crime& Safety AlertsAmazon Subscription BoxesTop subscription boxes – right to your doorPillPackPharmacy SimplifiedConditions of UsePrivacy NoticeConsumer Health Data Privacy DisclosureYour Ads Privacy Choices© 1996-2025, Amazon.com, Inc. or its affiliates",,True,1
amazon,button,Shortcuts menu,,False,0
amazon,h2,Skip to,,False,0
amazon,a,Main content,,False,0
amazon,h2,Keyboard shortcuts,,False,0
amazon,button,Open/close shortcuts menushift+alt+Z,,False,0
amazon,span,Open/close shortcuts menu,,False,0
amazon,div,"To move between items, use your keyboard's up or down arrows.",,False,0
amazon,div,".usDeliver toIndiaInternational Shopping Transition AlertWe're showing you items that ship toIndia. To see items that ship to a different country, change your delivery address.DismissChange AddressDealsSelect the department you want to search inDealsAll DepartmentsArts & CraftsAutomotiveBabyBeauty & Personal CareBooksBoys' FashionComputersDealsDigital MusicElectronicsGirls' FashionHealth & HouseholdHome & KitchenIndustrial & ScientificKindle StoreLuggageMen's FashionMovies & TVMusic, CDs & VinylPet SuppliesPrime VideoSoftwareSports & OutdoorsTools & Home ImprovementToys & GamesVideo GamesWomen's FashionSearch AmazonENHello, sign inAccount & ListsReturns& Orders0CartAllToday's DealsRegistryPrime VideoGift CardsCustomer ServiceSellDisability Customer SupportToday's DealsCouponsRenewed DealsOutletAmazon ResaleGrocery DealsSign inNew customer?Start here.Your ListsCreate a ListFind a List or RegistryYour AccountAccountOrdersRecommendationsBrowsing HistoryWatchlistVideo Purchases & RentalsKindle UnlimitedContent & DevicesSubscribe & Save ItemsMemberships & SubscriptionsMusic LibrarySign inNew customer?Start here.",,True,1
