source,type,text,image_url,is_promo
walmart,div,"Robot or human?Activate and hold the button to confirm that you’re human. Thank You!Terms of UsePrivacy PolicyDo Not Sell My Personal InformationRequest My Personal Information©2025Walmart Stores, Inc.",,False
walmart,div,"Robot or human?Activate and hold the button to confirm that you’re human. Thank You!Terms of UsePrivacy PolicyDo Not Sell My Personal InformationRequest My Personal Information©2025Walmart Stores, Inc.",,False
walmart,h1,Robot or human?,,False
walmart,div,Activate and hold the button to confirm that you’re human. Thank You!,,False
walmart,div,Activate and hold the button to confirm that you’re human. Thank You!,,False
walmart,div,"Terms of UsePrivacy PolicyDo Not Sell My Personal InformationRequest My Personal Information©2025Walmart Stores, Inc.",,False
walmart,div,"Terms of UsePrivacy PolicyDo Not Sell My Personal InformationRequest My Personal Information©2025Walmart Stores, Inc.",,False
walmart,div,Terms of UsePrivacy PolicyDo Not Sell My Personal InformationRequest My Personal Information,,False
walmart,a,Terms of Use,,False
walmart,span,Terms of Use,,False
walmart,a,Privacy Policy,,False
walmart,span,Privacy Policy,,False
walmart,a,Do Not Sell My Personal Information,,False
walmart,span,Do Not Sell My Personal Information,,False
walmart,a,Request My Personal Information,,False
walmart,span,Request My Personal Information,,False
walmart,div,"©2025Walmart Stores, Inc.",,False
walmart,div,"Robot or human?Activate and hold the button to confirm that you’re human. Thank You!Terms of UsePrivacy PolicyDo Not Sell My Personal InformationRequest My Personal Information©2025Walmart Stores, Inc.",,False
walmart,div,"Robot or human?Activate and hold the button to confirm that you’re human. Thank You!Terms of UsePrivacy PolicyDo Not Sell My Personal InformationRequest My Personal Information©2025Walmart Stores, Inc.",,False
walmart,h1,Robot or human?,,False
walmart,div,Activate and hold the button to confirm that you’re human. Thank You!,,False
walmart,div,Activate and hold the button to confirm that you’re human. Thank You!,,False
walmart,div,"Terms of UsePrivacy PolicyDo Not Sell My Personal InformationRequest My Personal Information©2025Walmart Stores, Inc.",,False
walmart,div,"Terms of UsePrivacy PolicyDo Not Sell My Personal InformationRequest My Personal Information©2025Walmart Stores, Inc.",,False
walmart,div,Terms of UsePrivacy PolicyDo Not Sell My Personal InformationRequest My Personal Information,,False
walmart,a,Terms of Use,,False
walmart,span,Terms of Use,,False
walmart,a,Privacy Policy,,False
walmart,span,Privacy Policy,,False
walmart,a,Do Not Sell My Personal Information,,False
walmart,span,Do Not Sell My Personal Information,,False
